customer_id,member_id,step,step_index,timestamp,completed,duration_seconds,source,workspace_name,integration_name,invitees_count
460.0,3234.0,signup,0,,True,1297,,,,
901.0,1008.0,first_login,2,,True,1345,,,,
823.0,5292.0,email_verified,1,,True,631,web,,,
36.0,7296.0,email_verified,1,,True,1442,,,,
354.0,6155.0,email_verified,1,,True,68,web,,,
1174.0,6135.0,first_project,5,,True,702,import,,,
937.0,4430.0,first_login,2,,True,1401,,,,
70.0,5846.0,email_verified,1,,True,138,web,,,
100.0,4221.0,signup,0,,True,598,import,,,
1072.0,1140.0,first_task,6,,True,411,web,,,
823.0,3270.0,signup,0,,True,343,api,,,
1085.0,3838.0,first_login,2,,True,1496,mobile,,,
398.0,155.0,email_verified,1,,True,397,,,,
84.0,1366.0,workspace_created,4,,True,919,,Team Workspace 42,,
980.0,7100.0,first_task,6,,True,1258,,,,
307.0,1501.0,email_verified,1,,True,714,import,,,
408.0,2726.0,first_integration,9,,True,1217,,,notion,
131.0,401.0,signup,0,,True,106,web,,,
1142.0,1044.0,profile_completed,3,,True,1245,mobile,,,
279.0,7559.0,first_login,2,,True,1684,api,,,
1124.0,1142.0,first_task,6,,True,1724,,,,
720.0,6099.0,profile_completed,3,,True,830,,,,
576.0,355.0,first_task,6,,True,1133,,,,
183.0,479.0,first_project,5,,True,1642,web,,,
462.0,8068.0,email_verified,1,,True,1325,web,,,
794.0,792.0,first_login,2,,True,891,import,,,
211.0,3362.0,completed_tutorial,8,,True,841,api,,,
502.0,5623.0,signup,0,,True,660,web,,,
521.0,7685.0,first_project,5,,True,1174,mobile,,,
6.0,1805.0,email_verified,1,,True,38,,,,
205.0,7335.0,email_verified,1,,True,1150,api,,,
17.0,5478.0,first_login,2,,True,1552,,,,
803.0,6355.0,workspace_created,4,,True,1438,mobile,Team Workspace 425,,
196.0,7660.0,email_verified,1,,True,1147,import,,,
84.0,1978.0,profile_completed,3,,True,356,api,,,
202.0,2512.0,signup,0,,True,1528,,,,
1162.0,2485.0,profile_completed,3,,True,811,,,,
956.0,1632.0,profile_completed,3,,True,480,,,,
777.0,521.0,first_login,2,,True,1580,api,,,
553.0,7686.0,first_project,5,,True,697,,,,
331.0,5961.0,completed_tutorial,8,,True,1632,,,,
548.0,8207.0,first_task,6,,True,1034,mobile,,,
302.0,1085.0,invited_teammate,7,,True,843,web,,,
730.0,6550.0,first_login,2,,True,1198,import,,,
641.0,995.0,signup,0,,True,333,import,,,
